,address,geocoded_address,returned_address,tiger_line,tract,longitude,latitude
200,8147 S JEFFERY BLVD,"8147 S JEFFERY BLVD, Chicago, IL, 60617","8147 S JEFFERY BLVD, CHICAGO, IL, 60617",111775911,460500,-87.575826777298,41.74711201762
201,8147 S JEFFERY BLVD,"8147 S JEFFERY BLVD, Chicago, IL, 60617","8147 S JEFFERY BLVD, CHICAGO, IL, 60617",111775911,460500,-87.575826777298,41.74711201762
202,8152 S JEFFERY BLVD,"8152 S JEFFERY BLVD, Chicago, IL, 60617","8152 S JEFFERY BLVD, CHICAGO, IL, 60617",111775911,460500,-87.575978632049,41.747006315258
203,5616 S OAKLEY AVE,"5616 S OAKLEY AVE, Chicago, IL, 60636","5616 S OAKLEY AVE, CHICAGO, IL, 60636",605451076,835100,-87.681312842509,41.791895108193
204,5526 S OAKLEY AVE,"5526 S OAKLEY AVE, Chicago, IL, 60636","5526 S OAKLEY AVE, CHICAGO, IL, 60636",605450923,835100,-87.68134097647,41.792805442043
205,8148 S JEFFERY BLVD,"8148 S JEFFERY BLVD, Chicago, IL, 60617","8148 S JEFFERY BLVD, CHICAGO, IL, 60617",111775911,460500,-87.575979781236,41.747075841484
206,8148 S JEFFERY BLVD,"8148 S JEFFERY BLVD, Chicago, IL, 60617","8148 S JEFFERY BLVD, CHICAGO, IL, 60617",111775911,460500,-87.575979781236,41.747075841484
207,5606 S OAKLEY AVE,"5606 S OAKLEY AVE, Chicago, IL, 60636","5606 S OAKLEY AVE, CHICAGO, IL, 60636",111804749,835100,-87.681322367786,41.792134939261
208,8144 S JEFFERY BLVD,"8144 S JEFFERY BLVD, Chicago, IL, 60617","8144 S JEFFERY BLVD, CHICAGO, IL, 60617",111775911,460500,-87.575980930423,41.747145367709
209,8144 S JEFFERY BLVD,"8144 S JEFFERY BLVD, Chicago, IL, 60617","8144 S JEFFERY BLVD, CHICAGO, IL, 60617",111775911,460500,-87.575980930423,41.747145367709
210,8120 S JEFFERY BLVD,"8120 S JEFFERY BLVD, Chicago, IL, 60617","8120 S JEFFERY BLVD, CHICAGO, IL, 60617",111775911,460500,-87.575987825544,41.747562525062
211,8044 S JEFFERY BLVD,"8044 S JEFFERY BLVD, Chicago, IL, 60617","8044 S JEFFERY BLVD, CHICAGO, IL, 60617",111775907,460500,-87.576012432069,41.748963346849
212,5622 S OAKLEY AVE,"5622 S OAKLEY AVE, Chicago, IL, 60636","5622 S OAKLEY AVE, CHICAGO, IL, 60636",605451076,835100,-87.681311091716,41.791810541975
213,8044 S JEFFERY BLVD,"8044 S JEFFERY BLVD, Chicago, IL, 60617","8044 S JEFFERY BLVD, CHICAGO, IL, 60617",111775907,460500,-87.576012432069,41.748963346849
